AttributeKey;supplementaryRegulation;specificSupplementaryRegulation
BP_ABGRABUNGSFLAECHE__;7_2_7_RawMaterials;3_1_AbgrabungsFlaeche
BP_ABSTANDSFLAECHE__;6_3_SpatialDesign;3_2_AbstandsFlaeche
BP_ABSTANDSMASS__;10_OtherSupplementaryRegulation;3_3_AbstandsMass
BP_ANPFLANZUNGBINDUNGERHALTUNG__;3_HeritageProtection;3_4_AnpflanzungBindungErhaltung
BP_ANPFLANZUNGBINDUNGERHALTUNG_massnahme_1000;3_HeritageProtection;3_4_1_BindungErhaltung
BP_ANPFLANZUNGBINDUNGERHALTUNG_massnahme_2000;3_HeritageProtection;3_4_2_Anpflanzung
BP_ANPFLANZUNGBINDUNGERHALTUNG_massnahme_3000;3_HeritageProtection;3_4_3_AnpflanzungBindungErhaltung
BP_AUFSCHUETTUNGSFLAECHE__;10_OtherSupplementaryRegulation;3_5_AufschuettungsFlaeche
BP_AUSGLEICHSFLAECHE__;3_1_NaturalHeritageProtection;3_6_AusgleichsFlaeche
BP_AUSGLEICHSFLAECHE_ziel_1000;3_1_NaturalHeritageProtection;3_6_1_SchutzPflege
BP_AUSGLEICHSFLAECHE_ziel_2000;3_1_NaturalHeritageProtection;3_6_2_Entwicklung
BP_AUSGLEICHSFLAECHE_ziel_3000;3_1_NaturalHeritageProtection;3_6_3_Anlage
BP_AUSGLEICHSFLAECHE_ziel_4000;3_1_NaturalHeritageProtection;3_6_4_SchutzPflegeEntwicklung
BP_AUSGLEICHSFLAECHE_ziel_9999;3_1_NaturalHeritageProtection;3_6_5_Sonstiges
BP_AUSGLEICHSMASSNAHME__;3_1_NaturalHeritageProtection;3_57_AusgleichsMassnahme
BP_AUSGLEICHSMASSNAHME_ziel_1000;3_1_NaturalHeritageProtection;3_57_1_SchutzPflege
BP_AUSGLEICHSMASSNAHME_ziel_2000;3_1_NaturalHeritageProtection;3_57_2_Entwicklung
BP_AUSGLEICHSMASSNAHME_ziel_3000;3_1_NaturalHeritageProtection;3_57_3_Anlage
BP_AUSGLEICHSMASSNAHME_ziel_4000;3_1_NaturalHeritageProtection;3_57_4_SchutzPflegeEntwicklung
BP_AUSGLEICHSMASSNAHME_ziel_9999;3_1_NaturalHeritageProtection;3_57_5_Sonstiges
BP_BAUGRENZE__;6_1_BuildingLine;3_8_BauGrenze
BP_BAULINIE__;6_2_BoundaryLine;3_9_BauLinie
BP_BAUGEBIETSTEILFLAECHE__;6_RegulationsOnBuildings;3_10_BaugebietsTeilFlaeche
BP_BAUGEBIETSTEILFLAECHE_allgArtDerBaulNutzung_1000;6_RegulationsOnBuildings;3_10_1_WohnBauflaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1000;6_RegulationsOnBuildings;3_10_1_1_Kleinsiedlungsgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1100;6_RegulationsOnBuildings;3_10_1_2_ReinesWohngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1200;6_RegulationsOnBuildings;3_10_1_3_AllgWohngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1300;6_RegulationsOnBuildings;3_10_1_4_BesonderesWohngebiet
BP_BAUGEBIETSTEILFLAECHE_allgArtDerBaulNutzung_2000;6_RegulationsOnBuildings;3_10_2_GemischteBauflaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1400;6_RegulationsOnBuildings;3_10_2_1_Dorfgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1500;6_RegulationsOnBuildings;3_10_2_2_Mischgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1550;6_RegulationsOnBuildings;3_10_2_3_UrbanesGebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1600;6_RegulationsOnBuildings;3_10_2_4_Kerngebiet
BP_BAUGEBIETSTEILFLAECHE_allgArtDerBaulNutzung_3000;6_RegulationsOnBuildings;3_10_3_GewerblicheBauflaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1700;6_RegulationsOnBuildings;3_10_3_1_Gewerbegebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1800;6_RegulationsOnBuildings;3_10_3_2_Industriegebiet
BP_BAUGEBIETSTEILFLAECHE_allgArtDerBaulNutzung_4000;6_RegulationsOnBuildings;3_10_4_SonderBauflaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_2000;6_RegulationsOnBuildings;3_10_4_1_SondergebietErholung
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_2100;6_RegulationsOnBuildings;3_10_4_2_SondergebietSonst
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_3000;6_RegulationsOnBuildings;3_10_4_3_Wochenendhausgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_4000;6_RegulationsOnBuildings;3_10_4_4_Sondergebiet
BP_BAUGEBIETSTEILFLAECHE_allgArtDerBaulNutzung_9999;6_RegulationsOnBuildings;3_10_5_SonstigeBauflaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_9999;6_RegulationsOnBuildings;3_10_5_1_SonstigesGebiet
BP_BEREICHOHNEEINAUSFAHRTLINIE__;9_1_RestrictedActivities;3_11_BereichOhneEinAusfahrtLinie
BP_BEREICHOHNEEINAUSFAHRTLINIE_typ_1000;9_1_RestrictedActivities;3_11_1_KeineEinfahrt
BP_BEREICHOHNEEINAUSFAHRTLINIE_typ_2000;9_1_RestrictedActivities;3_11_2_KeineAusfahrt
BP_BEREICHOHNEEINAUSFAHRTLINIE_typ_3000;9_1_RestrictedActivities;3_11_3_KeineEinAusfahrt
BP_BESONDERERNUTZUNGSZWECKFLAECHE__;6_RegulationsOnBuildings;3_12_BesondererNutzungszweckFlaeche
BP_BODENSCHAETZEFLAECHE__;7_2_7_RawMaterials;3_13_BodenschaetzeFlaeche
BP_EINFAHRTPUNKT__;9_2_PermittedActivities;3_14_EinfahrtPunkt
BP_EINFAHRTPUNKT_typ_1000;9_2_PermittedActivities;3_14_1_Einfahrt
BP_EINFAHRTPUNKT_typ_2000;9_2_PermittedActivities;3_14_2_Ausfahrt
BP_EINFAHRTPUNKT_typ_3000;9_2_PermittedActivities;3_14_3_EinAusfahrt
BP_EINFAHRTSBEREICHLINIE__;9_2_PermittedActivities;3_15_EinfahrtsbereichLinie
BP_EINFAHRTSBEREICHLINIE_typ_1000;9_2_PermittedActivities;3_15_1_Einfahrt
BP_EINFAHRTSBEREICHLINIE_typ_2000;9_2_PermittedActivities;3_15_2_Ausfahrt
BP_EINFAHRTSBEREICHLINIE_typ_3000;9_2_PermittedActivities;3_15_3_EinAusfahrt
BP_EINGRIFFSBEREICH__;1_8_OtherImpactOnEnvironment;3_16_EingriffsBereich
BP_ERHALTUNGSBEREICHFLAECHE__;10_OtherSupplementaryRegulation;3_17_ErhaltungsBereichFlaeche
BP_ERHALTUNGSBEREICHFLAECHE_grund_1000;3_3_BuiltHeritageProtection;3_17_1_StaedtebaulicheGestalt
BP_ERHALTUNGSBEREICHFLAECHE_grund_2000;8_1_CompositionOfLocalResidentialPopulation;3_17_2_Wohnbevoelkerung
BP_ERHALTUNGSBEREICHFLAECHE_grund_3000;8_1_CompositionOfLocalResidentialPopulation;3_17_3_Umstrukturierung
BP_FESTSETZUNGNACHLANDESRECHT__;10_OtherSupplementaryRegulation;3_18_FestsetzungNachLandesrecht
BP_FIRSTRICHTUNGSLINIE__;6_3_SpatialDesign;3_19_FirstRichtungsLinie
BP_FOERDERUNGSFLAECHE__;8_2_PubliclySubsidisedHousingArea;3_20_FoerderungsFlaeche
BP_FREIFLAECHE__;9_3_ForbidenActivities;3_21_FreiFlaeche
BP_GEMEINBEDARFSFLAECHE__;7_1_3_3_Services;3_23_Gemeinbedarf
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1000;7_1_3_3_Services;3_23_1_OeffentlicheVerwaltung
