AttributeKey;hilucsLandUse;specificLandUse
BP_ABGRABUNGSFLAECHE__;1_3_MiningAndQuarrying;3_1_AbgrabungsFlaeche
BP_AUFSCHUETTUNGSFLAECHE__;6_6_NotKnownUse;3_5_AufschuettungsFlaeche
BP_AUSGLEICHSFLAECHE_ziel_1000;6_3_NaturalAreasNotInOtherEconomicUse;3_6_1_SchutzPflege
BP_AUSGLEICHSFLAECHE_ziel_2000;6_3_NaturalAreasNotInOtherEconomicUse;3_6_2_Entwicklung
BP_AUSGLEICHSFLAECHE_ziel_3000;6_3_NaturalAreasNotInOtherEconomicUse;3_6_3_Anlage
BP_AUSGLEICHSFLAECHE_ziel_4000;6_3_NaturalAreasNotInOtherEconomicUse;3_6_4_SchutzPflegeEntwicklung
BP_AUSGLEICHSFLAECHE_ziel_9999;6_3_NaturalAreasNotInOtherEconomicUse;3_6_5_Sonstiges
BP_AUSGLEICHSFLAECHE__;6_3_NaturalAreasNotInOtherEconomicUse;3_6_AusgleichsFlaeche
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1000;5_1_PermanentResidentialUse;3_10_1_1_Kleinsiedlungsgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1100;5_1_PermanentResidentialUse;3_10_1_2_ReinesWohngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1200;5_ResidentialUse;3_10_1_3_AllgWohngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1300;5_3_OtherResidentialUse;3_10_1_4_BesonderesWohngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1400;5_ResidentialUse && 1_1_2_FarmingInfrastructure;3_10_2_1_Dorfgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1500;5_2_ResidentialUseWithOtherCompatibleUses;3_10_2_2_Mischgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1550;5_2_ResidentialUseWithOtherCompatibleUses;3_10_2_3_UrbanesGebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1600;3_TertiaryProduction && 5_ResidentialUse;3_10_2_4_Kerngebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1700;2_3_LightEndProductIndustry;3_10_3_1_Gewerbegebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_1800;2_SecondaryProduction;3_10_3_2_Industriegebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_2000;3_4_5_OtherRecreationalServices;3_10_4_1_SondergebietErholung
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_3000;3_4_5_OtherRecreationalServices;3_10_4_3_Wochenendhausgebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_4000;3_5_OtherServices;3_10_4_4_Sondergebiet
BP_BAUGEBIETSTEILFLAECHE_besondereArtDerBaulNutzung_9999;6_6_NotKnownUse;3_10_5_1_SonstigesGebiet
BP_BAUGEBIETSTEILFLAECHE__;6_6_NotKnownUse;3_10_BaugebietsTeilFlaeche
BP_BESONDERERNUTZUNGSZWECKFLAECHE__;6_6_NotKnownUse;3_12_BesondererNutzungszweckFlaeche
BP_BODENSCHAETZEFLAECHE__;1_3_MiningAndQuarrying;3_13_BodenschaetzeFlaeche
BP_FESTSETZUNGNACHLANDESRECHT__;6_6_NotKnownUse;3_18_FestsetzungNachLandesrecht
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1000;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_1_OeffentlicheVerwaltung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1200;3_3_2_EducationalServices;3_7_2_BildungForschung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1400;3_3_4_ReligiousServices;3_7_3_Kirche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1600;3_3_3_HealthAndSocialServices;3_7_4_Sozial
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1800;3_3_3_HealthAndSocialServices;3_7_5_Gesundheit
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2000;3_4_1_CulturalServices;3_7_6_Kultur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2200;3_4_3_SportsInfrastructure;3_7_7_Sport
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2400;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_8_SicherheitOrdnung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2600;3_3_5_OtherCommunityServices;3_7_9_Infrastruktur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_9999;3_5_OtherServices;3_7_10_Sonstiges
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10000;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_1_1_KommunaleEinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10001;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_1_2_BetriebOeffentlZweckbestimmung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10002;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_1_3_AnlageBundLand
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10003;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_1_4_SonstigeOeffentlicheVerwaltung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12000;3_3_2_EducationalServices;3_7_2_1_Schule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12001;3_3_2_EducationalServices;3_7_2_2_Hochschule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12002;3_3_2_EducationalServices;3_7_2_3_BerufsbildendeSchule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12003;3_3_2_EducationalServices;3_7_2_4_Forschungseinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12004;3_3_2_EducationalServices;3_7_2_5_SonstigesBildungForschung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14000;3_3_4_ReligiousServices;3_7_3_1_Sakralgebaeude
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14001;3_3_4_ReligiousServices;3_7_3_2_KirchlicheVerwaltung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14002;3_3_4_ReligiousServices;3_7_3_3_Kirchengemeinde
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14003;3_3_4_ReligiousServices;3_7_3_4_SonstigesKirche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16000;3_3_3_HealthAndSocialServices;3_7_4_1_EinrichtungKinder
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16001;3_3_3_HealthAndSocialServices;3_7_4_2_EinrichtungJugendliche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16002;3_3_3_HealthAndSocialServices;3_7_4_3_EinrichtungFamilienErwachsene
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16003;3_3_3_HealthAndSocialServices;3_7_4_4_EinrichtungSenioren
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16004;3_3_3_HealthAndSocialServices;3_7_4_5_SonstigeSozialeEinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_18000;3_3_3_HealthAndSocialServices;3_7_5_1_Krankenhaus
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_18001;3_3_3_HealthAndSocialServices;3_7_5_2_SonstigesGesundheit
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20000;3_4_1_CulturalServices;3_7_6_1_MusikTheater
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20001;3_4_1_CulturalServices;3_7_6_2_Bildung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20002;3_4_1_CulturalServices;3_7_6_3_SonstigeKultur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22000;3_4_3_SportsInfrastructure;3_7_7_1_Bad
