AttributeKey;supplementaryRegulation;specificSupplementaryRegulation
FP_ABGRABUNG__;7_2_7_RawMaterials;2_1_Abgrabung
FP_ANPASSUNGKLIMAWANDEL__;1_5_ClimateProtection;2_2_AnpassungKlimawandel
FP_AUFSCHUETTUNG__;10_OtherSupplementaryRegulation;2_3_Aufschuettung
FP_AUSGLEICHSFLAECHE_ziel_1000;3_1_NaturalHeritageProtection;2_4_1_SchutzPflege
FP_AUSGLEICHSFLAECHE_ziel_2000;3_1_NaturalHeritageProtection;2_4_2_Entwicklung
FP_AUSGLEICHSFLAECHE_ziel_3000;3_1_NaturalHeritageProtection;2_4_3_Anlage
FP_AUSGLEICHSFLAECHE_ziel_4000;3_1_NaturalHeritageProtection;2_4_4_SchutzPflegeEntwicklung
FP_AUSGLEICHSFLAECHE_ziel_9999;3_1_NaturalHeritageProtection;2_4_5_Sonstiges
FP_AUSGLEICHSFLAECHE__;3_1_NaturalHeritageProtection;2_4_AusgleichsFlaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_1000;6_RegulationsOnBuildings;2_5_1_WohnBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_2000;6_RegulationsOnBuildings;2_5_2_GemischteBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_3000;6_RegulationsOnBuildings;2_5_3_GewerblicheBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_4000;6_RegulationsOnBuildings;2_5_4_SonderBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_9999;6_RegulationsOnBuildings;2_5_5_SonstigeBauflaeche
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1000;6_RegulationsOnBuildings;2_5_1_1_Kleinsiedlungsgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1100;6_RegulationsOnBuildings;2_5_1_2_ReinesWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1200;6_RegulationsOnBuildings;2_5_1_3_AllgWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1300;6_RegulationsOnBuildings;2_5_1_4_BesonderesWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1400;6_RegulationsOnBuildings;2_5_2_1_Dorfgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1500;6_RegulationsOnBuildings;2_5_2_2_Mischgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1550;6_RegulationsOnBuildings;2_5_2_3_UrbanesGebiet
