AttributeKey;hilucsLandUse;specificLandUse
FP_ABGRABUNG__;1_3_MiningAndQuarrying;2_1_Abgrabung
FP_ANPASSUNGKLIMAWANDEL__;6_6_NotKnownUse;2_2_AnpassungKlimawandel
FP_AUFSCHUETTUNG__;6_6_NotKnownUse;2_3_Aufschuettung
FP_AUSGLEICHSFLAECHE_ziel_1000;6_3_NaturalAreasNotInOtherEconomicUse;2_4_1_SchutzPflege
FP_AUSGLEICHSFLAECHE_ziel_2000;6_3_NaturalAreasNotInOtherEconomicUse;2_4_2_Entwicklung
FP_AUSGLEICHSFLAECHE_ziel_3000;6_3_NaturalAreasNotInOtherEconomicUse;2_4_3_Anlage
FP_AUSGLEICHSFLAECHE_ziel_4000;6_3_NaturalAreasNotInOtherEconomicUse;2_4_4_SchutzPflegeEntwicklung
FP_AUSGLEICHSFLAECHE_ziel_9999;6_3_NaturalAreasNotInOtherEconomicUse;2_4_5_Sonstiges
FP_AUSGLEICHSFLAECHE__;6_3_NaturalAreasNotInOtherEconomicUse;2_4_AusgleichsFlaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_1000;5_ResidentialUse;2_5_1_WohnBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_2000;5_2_ResidentialUseWithOtherCompatibleUses;2_5_2_GemischteBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_3000;2_SecondaryProduction;2_5_3_GewerblicheBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_4000;6_6_NotKnownUse;2_5_4_SonderBauflaeche
FP_BEBAUUNGSFLAECHE_allgArtDerBaulNutzung_9999;6_6_NotKnownUse;2_5_5_SonstigeBauflaeche
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1000;5_1_PermanentResidentialUse;2_5_1_1_Kleinsiedlungsgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1100;5_1_PermanentResidentialUse;2_5_1_2_ReinesWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1200;5_ResidentialUse;2_5_1_3_AllgWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1300;5_3_OtherResidentialUse;2_5_1_4_BesonderesWohngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1400;5_ResidentialUse && 1_1_2_FarmingInfrastructure;2_5_2_1_Dorfgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1500;5_2_ResidentialUseWithOtherCompatibleUses;2_5_2_2_Mischgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1550;5_2_ResidentialUseWithOtherCompatibleUses;2_5_2_3_UrbanesGebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1600;3_TertiaryProduction && 5_ResidentialUse;2_5_2_4_Kerngebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1700;2_3_LightEndProductIndustry;2_5_3_1_Gewerbegebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_1800;2_SecondaryProduction;2_5_3_2_Industriegebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_2000;3_4_5_OtherRecreationalServices;2_5_4_1_SondergebietErholung
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_2100;3_4_5_OtherRecreationalServices;2_5_4_2_SondergebietSonst
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_3000;3_4_5_OtherRecreationalServices;2_5_4_3_Wochenendhausgebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_4000;3_5_OtherServices;2_5_4_4_Sondergebiet
FP_BEBAUUNGSFLAECHE_besondereArtDerBaulNutzung_9999;6_6_NotKnownUse;2_5_5_1_SonstigesGebiet
FP_BEBAUUNGSFLAECHE__;6_6_NotKnownUse;2_5_BebauungsFlaeche
FP_BODENSCHAETZE__;1_3_MiningAndQuarrying;2_6_Bodenschaetze
FP_GEMEINBEDARF_zweckbestimmung_1000;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_1_OeffentlicheVerwaltung
FP_GEMEINBEDARF_zweckbestimmung_1200;3_3_2_EducationalServices;2_7_2_BildungForschung
FP_GEMEINBEDARF_zweckbestimmung_1400;3_3_4_ReligiousServices;2_7_3_Kirche
FP_GEMEINBEDARF_zweckbestimmung_1600;3_3_3_HealthAndSocialServices;2_7_4_Sozial
FP_GEMEINBEDARF_zweckbestimmung_1800;3_3_3_HealthAndSocialServices;2_7_5_Gesundheit
FP_GEMEINBEDARF_zweckbestimmung_2000;3_4_1_CulturalServices;2_7_6_Kultur
FP_GEMEINBEDARF_zweckbestimmung_2200;3_4_3_SportsInfrastructure;2_7_7_Sport
FP_GEMEINBEDARF_zweckbestimmung_2400;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_8_SicherheitOrdnung
FP_GEMEINBEDARF_zweckbestimmung_2600;3_3_5_OtherCommunityServices;2_7_9_Infrastruktur
FP_GEMEINBEDARF_zweckbestimmung_9999;3_5_OtherServices;2_7_10_Sonstiges
FP_GEMEINBEDARF_zweckbestimmung_10000;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_1_1_KommunaleEinrichtung
FP_GEMEINBEDARF_zweckbestimmung_10001;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_1_2_BetriebOeffentlZweckbestimmung
FP_GEMEINBEDARF_zweckbestimmung_10002;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_1_3_AnlageBundLand
FP_GEMEINBEDARF_zweckbestimmung_10003;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;2_7_1_4_SonstigeOeffentlicheVerwaltung
FP_GEMEINBEDARF_zweckbestimmung_12000;3_3_2_EducationalServices;2_7_2_1_Schule
FP_GEMEINBEDARF_zweckbestimmung_12001;3_3_2_EducationalServices;2_7_2_2_Hochschule
