AttributeKey;supplementaryRegulation;specificSupplementaryRegulation
SO_BODENSCHUTZRECHT_artDerFestlegung_1000;2_2_IndustrialRisk;5_1_1_SchaedlicheBodenveraenderung
SO_BODENSCHUTZRECHT_artDerFestlegung_2000;2_2_IndustrialRisk;5_1_2_Altlast
SO_BODENSCHUTZRECHT_artDerFestlegung_20000;2_2_IndustrialRisk;5_1_1_1_Altablagerung
SO_BODENSCHUTZRECHT_artDerFestlegung_20001;2_2_IndustrialRisk;5_1_1_2_Altstandort
SO_BODENSCHUTZRECHT_artDerFestlegung_20002;2_2_IndustrialRisk;5_1_1_3_AltstandortAufAltablagerung
SO_BODENSCHUTZRECHT__;2_2_IndustrialRisk;5_1_Bodenschutzrecht
SO_DENKMALSCHUTZRECHT_artDerFestlegung_1000;3_3_BuiltHeritageProtection;5_2_1_DenkmalschutzEnsemble
SO_DENKMALSCHUTZRECHT_artDerFestlegung_1100;3_3_BuiltHeritageProtection;5_2_2_DenkmalschutzEinzelanlage
SO_DENKMALSCHUTZRECHT_artDerFestlegung_1200;3_4_ArcheologicalProtection;5_2_3_Grabungsschutzgebiet
SO_DENKMALSCHUTZRECHT_artDerFestlegung_1300;3_3_BuiltHeritageProtection;5_2_4_PufferzoneWeltkulturerbeEnger
SO_DENKMALSCHUTZRECHT_artDerFestlegung_1400;3_3_BuiltHeritageProtection;5_2_5_PufferzoneWeltkulturerbeWeiter
SO_DENKMALSCHUTZRECHT_artDerFestlegung_9999;3_HeritageProtection;5_2_6_Sonstiges
SO_DENKMALSCHUTZRECHT__;3_HeritageProtection;5_2_Denkmalschutzrecht
SO_FORSTRECHT_artDerFestlegung_1000;7_2_2_Forest;5_3_1_OeffentlicherWald
SO_FORSTRECHT_artDerFestlegung_2000;7_2_2_Forest;5_3_2_Privatwald
SO_FORSTRECHT_artDerFestlegung_9999;7_2_2_Forest;5_3_3_Sonstiges
SO_FORSTRECHT__;7_2_2_Forest;5_3_Forstrecht
SO_GEBIET_gebietsArt_1000;5_3_AreaReservedForRestructuringParcels;5_4_1_Umlegungsgebiet
SO_GEBIET_gebietsArt_1100;7_4_3_UrbanRehabilitationAndRestoration;5_4_2_StaedtebaulicheSanierung
SO_GEBIET_gebietsArt_1200;7_4_1_UrbanRenewal;5_4_3_StaedtebaulicheEntwicklungsmassnahme
SO_GEBIET_gebietsArt_1300;7_4_2_UrbanRegenerationAndRevitalisation;5_4_4_Stadtumbaugebiet
SO_GEBIET_gebietsArt_1400;8_SocialHealthChoices;5_4_5_SozialeStadt
SO_GEBIET_gebietsArt_1500;7_4_UrbanReshapingAndDevelopmentArea;5_4_6_BusinessImprovementDestrict
SO_GEBIET_gebietsArt_1600;7_4_UrbanReshapingAndDevelopmentArea;5_4_7_HousingImprovementDestrict
SO_GEBIET_gebietsArt_1999;10_OtherSupplementaryRegulation;5_4_8_Erhaltungsverordnung
SO_GEBIET_gebietsArt_2000;3_3_BuiltHeritageProtection;5_4_9_ErhaltungsverordnungStaedebaulicheGestalt
SO_GEBIET_gebietsArt_2100;8_1_CompositionOfLocalResidentialPopulation;5_4_10_ErhaltungsverordnungWohnbevoelkerung
SO_GEBIET_gebietsArt_2200;8_1_CompositionOfLocalResidentialPopulation;5_4_11_ErhaltungsverordnungUmstrukturierung
SO_GEBIET_gebietsArt_9999;10_OtherSupplementaryRegulation;5_4_12_Sonstiges
SO_GEBIET__;10_OtherSupplementaryRegulation;5_4_Gebiet
SO_LUFTVERKEHRSRECHT_artDerFestlegung_1000;7_1_3_1_0AirportActivities;5_6_1_Flughafen
SO_LUFTVERKEHRSRECHT_artDerFestlegung_2000;7_1_3_1_0AirportActivities;5_6_2_Landeplatz
SO_LUFTVERKEHRSRECHT_artDerFestlegung_3000;7_1_3_1_0AirportActivities;5_6_3_Segelfluggelaende
SO_LUFTVERKEHRSRECHT_artDerFestlegung_4000;7_1_3_1_0AirportActivities;5_6_4_HubschrauberLandeplatz
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5000;7_1_3_1_0AirportActivities;5_6_5_Ballonstartplatz
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5200;7_1_3_1_0AirportActivities;5_6_6_Haengegleiter
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5400;7_1_3_1_0AirportActivities;5_6_7_Gleitsegler
SO_LUFTVERKEHRSRECHT_artDerFestlegung_6000;1_1_NoiseManagementZone;5_6_8_Laermschutzbereich
SO_LUFTVERKEHRSRECHT_artDerFestlegung_7000;4_1_1_AirportEasement;5_6_9_Baubeschraenkungsbereich
SO_LUFTVERKEHRSRECHT_artDerFestlegung_9999;7_1_3_1_0AirportActivities;5_6_10_Sonstiges
SO_LUFTVERKEHRSRECHT__;7_1_3_1_0AirportActivities;5_6_Luftverkehrsrecht
