AttributeKey;hilucsLandUse;specificLandUse
SO_FORSTRECHT_artDerFestlegung_1000;1_2_Forestry;5_3_1_OeffentlicherWald
SO_FORSTRECHT_artDerFestlegung_2000;1_2_Forestry;5_3_2_Privatwald
SO_FORSTRECHT_artDerFestlegung_9999;1_2_Forestry;5_3_3_Sonstiges
SO_FORSTRECHT__;1_2_Forestry;5_3_Forstrecht
SO_GEBIET_gebietsArt_1000;6_OtherUses;5_4_1_Umlegungsgebiet
SO_GEBIET_gebietsArt_1100;6_OtherUses;5_4_2_StaedtebaulicheSanierung
SO_GEBIET_gebietsArt_1200;6_OtherUses;5_4_3_StaedtebaulicheEntwicklungsmassnahme
SO_GEBIET_gebietsArt_1300;6_OtherUses;5_4_4_Stadtumbaugebiet
SO_GEBIET_gebietsArt_1400;6_OtherUses;5_4_5_SozialeStadt
SO_GEBIET_gebietsArt_1500;6_OtherUses;5_4_6_BusinessImprovementDestrict
SO_GEBIET_gebietsArt_1600;6_OtherUses;5_4_7_HousingImprovementDestrict
SO_GEBIET_gebietsArt_1999;6_OtherUses;5_4_8_Erhaltungsverordnung
SO_GEBIET_gebietsArt_2000;6_OtherUses;5_4_9_ErhaltungsverordnungStaedebaulicheGestalt
SO_GEBIET_gebietsArt_2100;6_OtherUses;5_4_10_ErhaltungsverordnungWohnbevoelkerung
SO_GEBIET_gebietsArt_2200;6_OtherUses;5_4_11_ErhaltungsverordnungUmstrukturierung
SO_GEBIET_gebietsArt_9999;6_OtherUses;5_4_12_Sonstiges
SO_GEBIET__;6_OtherUses;5_4_Gebiet
SO_LUFTVERKEHRSRECHT_artDerFestlegung_1000;4_1_3_AirTransport;5_6_1_Flughafen
SO_LUFTVERKEHRSRECHT_artDerFestlegung_2000;4_1_3_AirTransport;5_6_2_Landeplatz
SO_LUFTVERKEHRSRECHT_artDerFestlegung_3000;4_1_3_AirTransport;5_6_3_Segelfluggelaende
SO_LUFTVERKEHRSRECHT_artDerFestlegung_4000;4_1_3_AirTransport;5_6_4_HubschrauberLandeplatz
